"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X.rsmax2.","X99","X.pc.stable.","X.x2.","X0.05","X.tabu.","X.bde."
"X.1.1.",0,0,0,0,1,0,0,0,"rsmax2",99,"pc.stable","x2",0.05,"tabu","bde"
"X.1.2.",0,0,0,0,0,1,0,0,"rsmax2",99,"pc.stable","x2",0.05,"tabu","bde"
"X.2.1.",0,0,0,0,0,0,1,0,"rsmax2",99,"pc.stable","x2",0.05,"tabu","bde"
"X.2.2.",0,0,0,0,0,0,0,1,"rsmax2",99,"pc.stable","x2",0.05,"tabu","bde"
"X..1.1..",0,0,0,0,0,0,0,0,"rsmax2",99,"pc.stable","x2",0.05,"tabu","bde"
"X..1.2..",0,0,0,0,0,0,0,0,"rsmax2",99,"pc.stable","x2",0.05,"tabu","bde"
"X..2.1..",0,0,0,0,0,0,0,0,"rsmax2",99,"pc.stable","x2",0.05,"tabu","bde"
"X..2.2..",0,0,0,0,0,0,0,0,"rsmax2",99,"pc.stable","x2",0.05,"tabu","bde"
